palavra,quantidade
pode,9
força,7
jedi,6
ter,5
antes,4
melhor,4
estará,4
tão,4
apenas,4
tio,3
algo,3
deve,3
fazer,3
devemos,3
podem,3
navio,3
caça,3
vai,2
sorte,2
ainda,2
devem,2
jovem,2
nome,2
acho,2
povo,2
areia,2
aqui,2
cavaleiro,2
bom,2
pai,2
velho,2
arma,2
mil,2
cavaleiros,2
agora,2
lado,2
vamos,2
ver,2
demais,2
precisa,2
sobre,2
poderia,2
poderoso,2
dois,2
quanto,2
confie,2
ir,2
tolo,2
destino,2
venha,1
cá,1
ficar,1
dia,1
ermos,1
jundland,1
percorridos,1
ânimo,1
traz,1
ouvia,1
claro,1
uso,1
desde,1
lembro,1
tido,1
entrarmos,1
assusta,1
logo,1
volta,1
maior,1
apegou,1
ideais,1
achei,1
deveria,1
ficado,1
igual,1
piloto,1
estelar,1
guerreiro,1
entendo,1
tornou,1
queria,1
idade,1
temia,1
pudesse,1
seguir,1
algum,1
maldito,1
cruzada,1
idealista,1
sabre,1
luz,1
desajeitado,1
aleatório,1
elegante,1
época,1
gerações,1
guardiões,1
paz,1
justiça,1
velha,1
tempos,1
chamado,1
darth,1
pupilo,1
tornar,1
ajudou,1
império,1
caçar,1
destruir,1
traiu,1
assassinou,1
tudo,1
menos,1
vader,1
seduzido,1
negro,1
dá,1
campo,1
energia,1
criado,1
todas,1
coisas,1
cerca,1
une,1
conseguimos,1
descobrir,1
onde,1
parece,1
aprender,1
caminhos,1
quiser,1
vir,1
comigo,1
preciso,1
ficando,1
tipo,1
aprenda,1
acha,1
pensar,1
faixas,1
pessoas,1
sempre,1
andam,1
fila,1
indiana,1
esconder,1
pontos,1
precisos,1
tropas,1
assalto,1
imperiais,1
nada,1
sido,1
morto,1
droides,1
estariam,1
mãos,1
porto,1
espacial,1
mos,1
nunca,1
encontrará,1
colméia,1
miserável,1
escória,1
venda,1
identificação,1
cuidar,1
siga,1
forte,1
influência,1
fracos,1
achará,1
maioria,1
melhores,1
pilotos,1
cargueiros,1
encontrados,1
tome,1
lugar,1
pouco,1
pequeno,1
vale,1
comprar,1
imediato,1
atender,1
devia,1
somente,1
nenhuma,1
dizer,1
gostaríamos,1
evitar,1
qualquer,1
envolvimento,1
podemos,1
quinze,1
chegarmos,1
noventa,1
vender,1
rápido,1
sair,1
tempo,1
possa,1
salto,1
velocidade,1
senti,1
grande,1
perturbação,1
milhões,1
vozes,1
repente,1
gritassem,1
terror,1
silenciadas,1
temo,1
terrível,1
continuar,1
sentir,1
fluindo,1
através,1
obedece,1
sugiro,1
tente,1
desta,1
solte,1
consciente,1
aja,1
olhos,1
deu,1
primeiro,1
passo,1
mundo,1
curto,1
desse,1
tamanho,1
fundo,1
espaço,1
vire,1
existem,1
alternativas,1
deixe,1
capaz,1
interpretar,1
rede,1
computadores,1
meninos,1
devo,1
fique,1
cuide,1
entregues,1
segurança,1
outros,1
sistemas,1
estelares,1
sofrerão,1
caminho,1
diferente,1
mestre,1
tornarei,1
use,1
