palavra,quantidade
vai,10
bem,8
aqui,7
ficar,7
vou,6
vamos,6
sobre,5
onde,5
fique,5
tudo,5
disse,4
nunca,4
naves,4
suficiente,4
parece,4
pode,4
acho,4
posso,4
grande,4
raio,4
velho,4
melhor,4
espero,4
sair,4
nave,3
algum,3
tipo,3
realmente,3
desta,3
acha,3
venha,3
agora,3
pagar,3
fazer,3
além,3
velocidade,3
algumas,3
todos,3
qualquer,3
nada,3
ir,3
poderia,3
nenhuma,3
coisa,3
millennium,2
algo,2
mil,2
começando,2
devem,2
volte,2
ver,2
diga,2
vez,2
esperando,2
pouco,2
porque,2
incline,2
escudo,2
enquanto,2
cálculos,2
salto,2
vão,2
alguns,2
hiperespaço,2
perto,2
viagem,2
vá,2
devemos,2
antigas,2
bom,2
vi,2
monte,2
força,2
nenhum,2
energia,2
controle,2
contra,2
chegando,2
saímos,2
tentando,2
poder,2
bloqueie,2
chegue,2
ter,2
ótimo,2
cela,2
princesa,2
sob,2
vazamento,2
atrás,2
lá,2
ideia,2
recompensa,2
vale,2
tirado,2
trator,2
ainda,2
nisso,2
han,1
capitão,1
chewie,1
procurando,1
passagem,1
sistema,1
ouviu,1
falar,1
fez,1
kessel,1
correr,1
menos,1
doze,1
ultrapassei,1
cruzadores,1
veja,1
falando,1
grandes,1
corellianas,1
rápida,1
problema,1
verdadeiro,1
custar,1
dez,1
conseguiram,1
partiremos,1
assim,1
doca,1
alguém,1
interessar,1
dezessete,1
caras,1
salvar,1
indo,1
jabba,1
dinheiro,1
consegui,1
abordado,1
aposto,1
desculpe,1
enviou,1
greedo,1
pensou,1
próxima,1
mande,1
desses,1
embarcado,1
carta,1
preciso,1
ponto,1
cinco,1
parecer,1
adicionei,1
modificações,1
então,1
apressar,1
sairemos,1
cruzador,1
passageiros,1
quentes,1
tente,1
defletor,1
faço,1
dois,1
tentar,1
cuidado,1
flutuando,1
estaremos,1
seguros,1
fizermos,1
conheço,1
perderemos,1
diversão,1
levar,1
instantes,1
obter,1
coordenadas,1
computador,1
viajar,1
limpar,1
poderíamos,1
voar,1
direto,1
através,1
estrela,1
saltar,1
supernova,1
terminaria,1
perdendo,1
pular,1
esquecer,1
problemas,1
lesmas,1
superar,1
agradecem,1
alderaan,1
cerca,1
sábio,1
perturbar,1
dróides,1
tiram,1
braços,1
pessoas,1
wookiees,1
conhecidos,1
religiões,1
hipócritas,1
armas,1
páreo,1
blaster,1
voei,1
lado,1
galáxia,1
coisas,1
fizesse,1
acreditar,1
existe,1
controlando,1
campo,1
mística,1
truques,1
simples,1
chamo,1
controles,1
remotos,1
outra,1
desligue,1
motores,1
chuva,1
colisão,1
posição,1
totalmente,1
frota,1
estelar,1
inteira,1
destruir,1
planeta,1
necessárias,1
fogo,1
outro,1
navio,1
base,1
puder,1
tempo,1
contar,1
ninguém,1
antes,1
quase,1
demais,1
reverso,1
presos,1
possa,1
pegar,1
uso,1
pensei,1
estaria,1
contrabandeando,1
pudesse,1
passaria,1
maldito,1
sabia,1
dizer,1
dar,1
mão,1
prefiro,1
luta,1
direta,1
fiz,1
esperava,1
nesta,1
desenterrou,1
colocar,1
idéia,1
quer,1
esperemos,1
lugar,1
marchar,1
área,1
detenção,1
imaginar,1
certo,1
descobrir,1
vinte,1
oito,1
situação,1
pequeno,1
defeito,1
perfeitamente,1
reator,1
minutos,1
conversa,1
chata,1
dessa,1
talvez,1
queira,1
volta,1
diabos,1
entra,1
aí,1
idiota,1
importo,1
preocupe,1
menina,1
gostar,1
calha,1
lixo,1
cheiro,1
incrível,1
saia,1
trouxe,1
demorar,1
descobrirem,1
aconteceu,1
mau,1
pressentimento,1
cima,1
pudermos,1
evitar,1
conselhos,1
capazes,1
esclarecer,1
recebo,1
ordens,1
acabamos,1
arrume,1
escudos,1
defletores,1
carrego,1
canhões,1
aguente,1
ruim,1
vezes,1
chama,1
tão,1
cara,1
dívidas,1
tolo,1
vem,1
usar,1
atacar,1
batalha,1
explodir,1
deixar,1
crédito,1
