palavra,quantidade
tudo,7
pode,3
todos,3
caçador,3
vader,3
nunca,2
encontrar,2
lando,2
fazer,2
algumas,2
tão,2
bem,2
problemas,2
coisas,2
aqui,2
pequena,2
império,2
antes,2
lord,2
lorde,2
leia,2
alguém,2
congelamento,2
segurança,2
vamos,2
vigarista,1
traidor,1
muita,1
coragem,1
vindo,1
velho,1
bom,1
pensei,1
onde,1
fazendo,1
fez,1
administrador,1
desta,1
errado,1
vou,1
pessoal,1
trabalhar,1
nave,1
salvou,1
vida,1
pedaço,1
lixo,1
rápido,1
quanto,1
pequeno,1
posto,1
avançado,1
abastecimento,1
dificuldades,1
ver,1
certeza,1
traz,1
responsável,1
hoje,1
preço,1
paga,1
interrompendo,1
alguma,1
absolutamente,1
realmente,1
pertence,1
conosco,1
juntar,1
mim,1
tendo,1
então,1
caímos,1
jurisdição,1
verdade,1
operação,1
suficiente,1
vantajoso,1
pois,1
clientes,1
ansiosos,1
evitar,1
chamar,1
atenção,1
si,1
sempre,1
perigo,1
pairando,1
sombra,1
sobre,1
construímos,1
desenvolveram,1
garantir,1
acabei,1
acordo,1
manterá,1
daqui,1
chegaram,1
sinto,1
condição,1
dar,1
han,1
negócio,1
ficando,1
cada,1
vez,1
cale,1
boca,1
concordou,1
entregar,1
chewie,1
ficar,1
menos,1
estarão,1
dando,1
quer,1
jeito,1
atrás,1
chamado,1
preparou,1
armadilha,1
fiz,1
posso,1
lamento,1
ter,1
feito,1
próprios,1
usamos,1
instalação,1
sendo,1
colocado,1
perfeita,1
disse,1
deixados,1
cidade,1
sob,1
torre,1
fique,1
sair,1
tentando,1
ainda,1
chance,1
salvar,1
quero,1
plataforma,1
códigos,1
assumiu,1
controle,1
aconselho,1
irem,1
embora,1
tropas,1
imperiais,1
lá,1
pronto,1
velocidade,1
disseram,1
confiei,1
neles,1
prontos,1
encontrarmos,1
jabba,1
the,1
hut,1
entraremos,1
contato,1
