palavra,quantidade
então,6
pode,5
lá,4
nada,3
acha,3
sistema,3
escudo,3
onde,3
ainda,3
sobre,3
passar,3
vai,3
vamos,3
parece,3
achei,2
precisamos,2
qualquer,2
nave,2
acho,2
sabe,2
todos,2
tropas,2
apenas,2
pessoal,2
todas,2
fazer,2
espero,2
viu,2
campo,2
pare,2
gosto,2
algo,2
velocidade,2
confiar,2
decidido,1
exatamente,1
deveria,1
grande,1
ajuda,1
líder,1
imaginando,1
prefiro,1
beijar,1
ver,1
general,1
rieekan,1
perigoso,1
deixar,1
ativado,1
tira,1
cérebro,1
aparência,1
tudo,1
daquelas,1
criaturas,1
atacaram,1
droide,1
sonda,1
transportadores,1
reunirão,1
entrada,1
navios,1
transporte,1
pesado,1
sairão,1
assim,1
duas,1
escoltas,1
caça,1
energia,1
aberto,1
curto,1
período,1
ficar,1
perto,1
canhão,1
íons,1
irá,1
disparar,1
vários,1
tiros,1
garantir,1
inimiga,1
rota,1
prossiga,1
diretamente,1
ponto,1
boa,1
podemos,1
aguentar,1
evacuar,1
terra,1
autorização,1
envie,1
setor,1
doze,1
encosta,1
sul,1
proteger,1
dê,1
sinal,1
código,1
vá,1
ajudaria,1
saísse,1
balde,1
ferrolhos,1
nunca,1
algum,1
dia,1
assistir,1
suba,1
realmente,1
entrando,1
precisa,1
pulverizados,1
ficarmos,1
aqui,1
saiba,1
deixe,1
segurado,1
bastante,1
parar,1
chamar,1
vezes,1
dificulta,1
ocasionalmente,1
agindo,1
mãos,1
acontece,1
homens,1
vou,1
chão,1
certeza,1
mau,1
pressentimento,1
império,1
saltar,1
luz,1
neste,1
caverna,1
cala,1
mente,1
próximo,1
resto,1
colônia,1
conhecesse,1
quanto,1
cedo,1
errado,1
ninguém,1
tempo,1
confio,1
verdade,1
faz,1
parte,1
guilda,1
fazendo,1
vader,1
quer,1
certamente,1
jeito,1
pensa,1
fez,1
han,1
luke,1
desacelere,1
baixo,1
abra,1
escotilha,1
destruidor,1
consertou,1
coordenadas,1
agora,1
