palavra,quantidade
vai,8
pode,8
posso,7
vader,6
vou,6
apenas,4
lado,4
capitão,3
solo,3
preciso,3
levar,3
ter,3
então,3
fazer,3
deixar,3
vamos,3
pai,3
raiva,2
dois,2
bem,2
devo,2
deveria,2
fique,2
aponte,2
promessa,2
velho,2
mestre,2
darth,2
matar,2
tudo,2
colocando,2
missão,2
threepio,2
diga,2
nunca,2
senti,2
algo,2
bom,2
imperador,2
sinto,2
lutar,2
luke,1
cavaleiro,1
jedi,1
amigo,1
poderoso,1
deve,1
igualmente,1
busco,1
audiência,1
vossa,1
grandeza,1
barganhar,1
vida,1
certeza,1
podemos,1
chegar,1
acordo,1
mutuamente,1
benéfico,1
permita,1
evitar,1
qualquer,1
confronto,1
prova,1
boa,1
vontade,1
apresento,1
ambos,1
trabalhadores,1
irão,1
falar,1
jabba,1
serve,1
permissão,1
trazer,1
wookiee,1
levando,1
lucrar,1
escolha,1
aviso,1
subestimar,1
último,1
erro,1
nada,1
morava,1
perto,1
chewie,1
lando,1
cuidei,1
última,1
pegue,1
esqueça,1
muita,1
pense,1
vejo,1
cumprir,1
encontro,1
indo,1
sistema,1
claro,1
voltei,1
completar,1
infeliz,1
saiba,1
continuar,1
disse,1
traiu,1
assassinou,1
certo,1
ponto,1
ainda,1
coisas,1
boas,1
tentei,1
ajudar,1
descobri,1
próprio,1
yoda,1
falou,1
leia,1
envolver,1
novo,1
algum,1
chegando,1
naquele,1
bloqueie,1
comlink,1
interruptor,1
continue,1
melhor,1
irmos,1
precisar,1
speeders,1
destruídos,1
lá,1
encontrei,1
wa,1
descobrir,1
maneira,1
sair,1
dessa,1
alcançar,1
sabre,1
faça,1
ficar,1
dê,1
entende,1
alguma,1
coisa,1
fizerem,1
ficará,1
usará,1
lembra,1
mãe,1
lembro,1
nesta,1
presença,1
veio,1
sentir,1
enquanto,1
risco,1
grupo,1
fácil,1
única,1
esperança,1
tempo,1
aprenderá,1
força,1
forte,1
irmã,1
sabe,1
porque,1
sempre,1
entregar,1
volta,1
aceitei,1
verdade,1
anakin,1
nome,1
verdadeiro,1
tirou,1
completamente,1
venha,1
forçado,1
procure,1
conflito,1
dentro,1
deixe,1
realmente,1
gravemente,1
converter,1
fez,1
logo,1
estarei,1
excesso,1
confiança,1
pensamentos,1
conseguiu,1
acredito,1
vá,1
destruir,1
voltar,1
antes,1
vem,1
