palavra,quantidade
imperador,6
lado,4
pode,3
talvez,3
então,3
possa,2
rebelde,2
vai,2
sabre,2
poder,2
sentimentos,2
agora,2
dispensar,1
aqui,1
volta,1
encontrar,1
novas,1
maneiras,1
compartilha,1
avaliação,1
otimista,1
dizer,1
descontente,1
aparente,1
falta,1
espero,1
perdoa,1
tanto,1
quanto,1
estrela,1
morte,1
concluída,1
dentro,1
relatórios,1
frota,1
concentrando,1
perto,1
sullust,1
onde,1
têm,1
autorização,1
lidarei,1
ver,1
pequena,1
força,1
penetrou,1
escudo,1
pousou,1
filho,1
virá,1
bom,1
conduza,1
busca,1
traga,1
companheiros,1
esperando,1
aceitou,1
nome,1
significado,1
vejo,1
construiu,1
novo,1
habilidades,1
pensou,1
conhece,1
devo,1
obedecer,1
tarde,1
demais,1
mostrará,1
verdadeira,1
natureza,1
mestre,1
inútil,1
ensinou,1
imprudente,1
baixar,1
subestima,1
encontrará,1
esconder,1
única,1
maneira,1
salvar,1
pensamentos,1
especialmente,1
irmã,1
traíram,1
sábio,1
fracasso,1
transformar,1
ajude,1
tirar,1
nada,1
parar,1
olhar,1
próprios,1
